"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","_____ Bird Gets the Worm","unf","Near Mint","English","","","2025-07-26 09:57:00.937000","5","False","False","0.02"
"1","1","A Premonition of Your Demise","dsc","Near Mint","English","","","2024-11-22 15:20:45.317000","353","False","False",""
"1","1","Aatchik, Emerald Radian","dft","Near Mint","English","foil","","2025-02-12 11:20:40.577000","360","False","False","0.02"
"1","1","Abandon Reason","emn","Near Mint","English","","","2024-11-24 19:39:48.927000","115","False","False",""
"1","1","Abjure","wth","Near Mint","English","","","2025-02-12 10:21:34.917000","31","False","True",""
"1","1","Abjure","wth","Near Mint","English","","","2025-02-20 13:35:56.113000","31","False","False",""
"1","1","Aboleth Spawn","clb","Near Mint","English","","","2024-11-22 15:20:48.350000","662","False","False",""
"1","1","Abrade","blc","Near Mint","English","","","2024-11-22 15:16:07.337000","191","False","False",""
"1","1","Abrade","fdn","Near Mint","English","","","2024-11-22 14:40:56.793000","327","False","False",""
"1","1","Abrade","fdn","Near Mint","English","","","2024-11-24 19:39:48.927000","188","False","False",""
"1","1","Abrade","inr","Near Mint","English","","","2025-05-06 15:17:00.747000","139","False","False","0.03"
"1","1","Abrade","fdn","Near Mint","English","","","2024-11-24 18:24:36.417000","327","False","False",""
"1","1","Abrade","fdn","Near Mint","English","foil","","2024-11-24 19:39:48.927000","327","False","False",""
"2","2","Abrupt Decay","rtr","Near Mint","English","","","2024-11-22 15:14:01.977000","141","False","True",""
"1","1","Abstergo Entertainment","acr","Near Mint","English","","","2025-03-31 14:18:51.913000","79","False","True",""
"1","1","Abstruse Archaic","cmm","Near Mint","English","","","2025-03-31 14:21:49.867000","712","False","True",""
"1","1","Abu Ja'far","chr","Near Mint","English","","","2024-11-22 15:14:01.977000","1","False","True",""
"1","1","Abundance","c17","Near Mint","English","","","2024-11-22 15:14:01.977000","145","False","True",""
"1","1","Abyssal Persecutor","c14","Near Mint","English","","","2024-11-22 15:14:01.977000","132","False","True",""
"1","1","Abzan Devotee","tdm","Near Mint","English","","","2025-05-06 15:17:00.747000","68","False","False","0.09"
"1","1","Abzan Devotee","tdm","Near Mint","English","","","2025-07-26 09:18:22.063000","68","False","False","0.06"
"1","1","Academy Manufactor","mh2","Near Mint","English","","","2025-01-15 16:13:41.143000","219","False","False",""
"1","1","Academy Manufactor","otc","Near Mint","English","","","2024-11-22 15:14:01.977000","251","False","True",""
